Latitude,Longitude
48 2 44.91,-106 32 83.98
48 2 43.64,-106 32 82.12
48 2 42.38,-106 32 80.26
48 2 4.11,-106 32 7.84
48 2 39.83,-106 32 76.53
48 2 38.56,-106 32 74.66
48 2 37.29,-106 32 72.79
48 2 36.01,-106 32 70.91
48 2 34.74,-106 32 69.03
48 2 33.48,-106 32 67.14
48 2 32.22,-106 32 65.25
48 2 30.96,-106 32 63.36
48 2 2.97,-106 32 61.47
48 2 28.44,-106 32 59.58
48 2 27.17,-106 32 57.69
48 2 25.91,-106 32 55.81
48 2 24.64,-106 32 53.94
48 2 23.37,-106 32 52.07
48 2 2.21,-106 32 50.22
48 2 20.82,-106 32 48.36
48 2 19.55,-106 32 46.49
48 2 18.28,-106 32 44.61
48 2 17.01,-106 32 42.74
48 2 15.73,-106 32 40.87
48 2 14.46,-106 32 38.99
48 2 13.18,-106 32 3.71
48 2 11.91,-106 32 35.21
48 2 10.64,-106 32 33.32
48 2 9.37,-106 32 31.44
48 2 8.11,-106 32 29.56
48 2 6.84,-106 32 27.69
48 2 5.57,-106 32 25.82
48 2 4.31,-106 32 23.95
48 2 3.05,-106 32 22.09
48 2 1.78,-106 32 20.23
48 2 5.1,-106 32 18.37
48 1 99.22,-106 32 1.65
48 1 97.95,-106 32 14.62
48 1 96.67,-106 32 12.75
48 1 95.39,-106 32 10.88
48 1 94.11,-106 32 90
48 1 92.83,-106 32 7.11
48 1 91.55,-106 32 5.22
48 1 90.28,-106 32 3.33
48 1 89.02,-106 32 1.44
48 1 87.76,-106 31 99.56
48 1 86.49,-106 31 97.68
48 1 85.23,-106 31 9.58
48 1 83.97,-106 31 93.93
48 1 8.27,-106 31 92.08
48 1 81.43,-106 31 90.23
48 1 80.16,-106 31 88.38
48 1 78.88,-106 31 86.52
48 1 7.76,-106 31 84.66
48 1 76.32,-106 31 8.28
48 1 75.04,-106 31 80.93
48 1 73.76,-106 31 79.04
48 1 72.48,-106 31 77.15
48 1 71.21,-106 31 75.24
48 1 69.93,-106 31 73.31
48 1 68.66,-106 31 71.36
48 1 6.74,-106 31 69.38
48 1 66.15,-106 31 67.39
48 1 64.89,-106 31 65.41
48 1 63.63,-106 31 63.46
48 1 62.37,-106 31 61.51
48 1 61.12,-106 31 59.56
48 1 59.85,-106 31 57.62
48 1 58.59,-106 31 55.67
48 1 57.33,-106 31 53.72
48 1 56.06,-106 31 51.78
48 1 54.79,-106 31 49.83
48 1 53.55,-106 31 47.89
48 1 52.32,-106 31 45.95
48 1 51.11,-106 31 44.02
48 1 4.99,-106 31 42.07
48 1 4.87,-106 31 40.13
48 1 47.49,-106 31 38.18
48 1 46.29,-106 31 36.24
48 1 45.09,-106 31 34.31
48 1 4.39,-106 31 32.36
48 1 4.27,-106 31 30.41
48 1 4.15,-106 31 28.46
48 1 4.03,-106 31 26.51
48 1 3.91,-106 31 24.55
48 1 3.79,-106 31 22.58
48 1 36.71,-106 31 2.06
48 1 35.51,-106 31 18.61
48 1 34.32,-106 31 16.63
48 1 33.14,-106 31 14.65
48 1 31.96,-106 31 12.68
48 1 30.77,-106 31 10.71
48 1 29.57,-106 31 8.74
48 1 28.37,-106 31 6.77
48 1 27.17,-106 31 4.8
48 1 25.96,-106 31 2.84
48 1 24.74,-106 31 8.8
48 1 23.53,-106 30 98.93
48 1 22.31,-106 30 9.7
48 1 21.09,-106 30 95.07
48 1 19.87,-106 30 93.13
48 1 18.66,-106 30 91.19
48 1 17.44,-106 30 89.26
48 1 16.22,-106 30 87.34
48 1 15.01,-106 30 85.42
48 1 1.38,-106 30 8.35
48 1 12.59,-106 30 81.57
48 1 11.38,-106 30 79.64
48 1 10.18,-106 30 77.75
48 1 8.97,-106 30 75.92
48 1 7.77,-106 30 74.14
48 1 6.58,-106 30 72.38
48 1 5.39,-106 30 70.62
48 1 4.21,-106 30 68.85
48 1 3.02,-106 30 67.08
48 1 1.83,-106 30 65.34
48 1 6.4,-106 30 63.67
48 0 99.45,-106 30 62.07
48 0 98.27,-106 30 60.54
48 0 9.71,-106 30 59.04
48 0 95.95,-106 30 57.56
48 0 94.82,-106 30 56.09
48 0 93.72,-106 30 54.63
48 0 92.62,-106 30 53.16
48 0 91.53,-106 30 51.71
48 0 90.43,-106 30 50.25
48 0 89.32,-106 30 4.88
48 0 88.16,-106 30 47.36
48 0 86.96,-106 30 45.95
48 0 8.57,-106 30 44.57
48 0 84.42,-106 30 43.23
48 0 83.13,-106 30 41.89
48 0 81.83,-106 30 40.55
48 0 80.53,-106 30 3.92
48 0 79.25,-106 30 37.85
48 0 77.97,-106 30 3.65
48 0 76.69,-106 30 35.16
48 0 75.41,-106 30 33.84
48 0 74.13,-106 30 32.55
48 0 72.87,-106 30 31.28
48 0 71.63,-106 30 30.01
48 0 70.43,-106 30 28.74
48 0 69.24,-106 30 27.46
48 0 68.06,-106 30 26.17
48 0 66.88,-106 30 24.88
48 0 6.57,-106 30 23.59
48 0 64.51,-106 30 22.32
48 0 63.34,-106 30 21.05
48 0 62.19,-106 30 1.98
48 0 61.06,-106 30 18.58
48 0 59.94,-106 30 17.39
48 0 58.84,-106 30 16.22
48 0 57.75,-106 30 15.06
48 0 56.64,-106 30 13.92
48 0 55.52,-106 30 12.78
48 0 54.39,-106 30 11.63
48 0 53.26,-106 30 10.48
48 0 52.13,-106 30 9.31
48 0 51.02,-106 30 8.14
48 0 49.92,-106 30 6.96
48 0 48.84,-106 30 5.79
48 0 47.78,-106 30 4.62
48 0 46.74,-106 30 3.46
48 0 45.71,-106 30 2.3
48 0 4.47,-106 30 1.16
48 0 4.37,-106 30 FALSE
48 0 42.69,-106 29 98.84
48 0 41.67,-106 29 9.77
48 0 40.66,-106 29 96.59
48 0 39.66,-106 29 95.51
48 0 38.66,-106 29 94.44
48 0 37.67,-106 29 93.34
48 0 36.67,-106 29 92.18
48 0 35.67,-106 29 90.98
48 0 34.67,-106 29 89.74
48 0 33.65,-106 29 88.44
48 0 32.63,-106 29 8.71
48 0 31.61,-106 29 85.72
48 0 3.06,-106 29 8.43
48 0 29.63,-106 29 82.82
48 0 28.68,-106 29 81.31
48 0 27.76,-106 29 79.75
48 0 26.87,-106 29 78.17
48 0 26.02,-106 29 76.55
48 0 25.19,-106 29 7.49
48 0 24.38,-106 29 73.23
48 0 23.59,-106 29 71.54
48 0 22.84,-106 29 69.82
48 0 22.12,-106 29 68.09
48 0 21.42,-106 29 66.35
48 0 20.75,-106 29 64.61
48 0 20.13,-106 29 62.87
48 0 19.55,-106 29 61.13
48 0 1.9,-106 29 59.39
48 0 18.48,-106 29 57.65
48 0 1.8,-106 29 55.91
48 0 17.57,-106 29 54.17
48 0 17.19,-106 29 52.42
48 0 16.85,-106 29 50.67
48 0 16.55,-106 29 48.92
48 0 16.29,-106 29 47.17
48 0 16.06,-106 29 45.43
48 0 15.83,-106 29 43.69
48 0 15.61,-106 29 41.95
48 0 1.54,-106 29 40.23
48 0 15.19,-106 29 38.51
48 0 14.97,-106 29 3.68
48 0 14.75,-106 29 35.11
48 0 14.52,-106 29 33.42
48 0 1.43,-106 29 31.74
48 0 14.07,-106 29 30.06
48 0 13.86,-106 29 28.38
48 0 13.65,-106 29 2.67
48 0 13.43,-106 29 25.01
48 0 13.22,-106 29 23.31
48 0 1.3,-106 29 2.16
48 0 12.78,-106 29 19.88
48 0 12.56,-106 29 18.16
48 0 12.34,-106 29 16.43
48 0 12.12,-106 29 1.47
48 0 11.91,-106 29 12.98
48 0 11.71,-106 29 11.26
48 0 11.51,-106 29 9.55
48 0 11.32,-106 29 7.84
48 0 11.12,-106 29 6.13
48 0 10.91,-106 29 4.44
48 0 10.69,-106 29 2.74
48 0 10.46,-106 29 1.05
48 0 10.23,-106 28 99.37
48 0 10,-106 28 97.68
48 0 9.78,-106 28 95.99
48 0 9.57,-106 28 9.43
48 0 9.36,-106 28 92.62
48 0 9.15,-106 28 90.93
48 0 8.93,-106 28 89.25
48 0 8.72,-106 28 87.57
48 0 8.5,-106 28 85.89
48 0 8.28,-106 28 84.21
48 0 8.06,-106 28 82.52
48 0 7.84,-106 28 80.83
48 0 7.62,-106 28 79.13
48 0 7.4,-106 28 77.43
48 0 7.19,-106 28 75.72
48 0 6.99,-106 28 74.02
47 0 6.78,-106 28 72.31
47 0 6.57,-106 28 7.06
47 0 6.36,-106 28 68.91
47 0 6.15,-106 28 67.21
47 0 5.95,-106 28 65.53
47 0 5.73,-106 28 63.86
47 0 5.51,-106 28 62.22
47 0 5.29,-106 28 6.06
47 0 5.06,-106 28 59.01
47 0 4.83,-106 28 57.44
47 0 4.61,-106 28 55.88
47 0 4.39,-106 28 54.34
47 0 4.17,-106 28 5.28
47 0 3.94,-106 28 51.25
47 0 3.7,-106 28 4.97
47 0 3.46,-106 28 48.15
47 0 3.2,-106 28 46.59
47 0 2.9,-106 28 45.03
47 0 2.56,-106 28 43.46
47 0 2.16,-106 28 41.89
47 0 1.73,-106 28 40.32
47 0 1.28,-106 28 38.75
47 0 80,-106 28 37.17
47 0 3.1,-106 28 35.59
47 59 99.82,-106 28 34.02
47 59 99.32,-106 28 32.44
47 59 98.83,-106 28 30.88
47 59 98.34,-106 28 29.31
47 59 97.85,-106 28 27.75
47 59 97.35,-106 28 26.18
47 59 96.85,-106 28 2.46
47 59 96.35,-106 28 23.02
47 59 95.85,-106 28 21.44
47 59 95.36,-106 28 19.84
47 59 94.87,-106 28 18.24
47 59 94.39,-106 28 16.63
47 59 9.39,-106 28 15.01
47 59 93.41,-106 28 13.38
47 59 92.91,-106 28 11.73
47 59 9.24,-106 28 10.08
47 59 9.19,-106 28 8.42
47 59 91.41,-106 28 6.75
47 59 90.94,-106 28 5.08
47 59 90.48,-106 28 3.39
47 59 90.02,-106 28 1.7
47 59 89.58,-106 28 FALSE
47 59 89.16,-106 27 9.83
47 59 88.76,-106 27 96.61
47 59 88.38,-106 27 94.92
47 59 88.01,-106 27 93.25
47 59 87.65,-106 27 91.57
47 59 87.31,-106 27 89.89
47 59 86.97,-106 27 88.21
47 59 86.65,-106 27 86.52
47 59 86.34,-106 27 84.82
47 59 86.04,-106 27 83.13
47 59 85.76,-106 27 81.43
47 59 8.55,-106 27 79.73
47 59 85.26,-106 27 78.03
47 59 85.01,-106 27 76.33
47 59 84.77,-106 27 74.63
47 59 84.51,-106 27 72.93
47 59 84.26,-106 27 71.24
47 59 84.01,-106 27 69.55
47 59 83.77,-106 27 67.85
47 59 83.54,-106 27 66.16
47 59 8.33,-106 27 64.47
47 59 83.07,-106 27 62.78
47 59 82.84,-106 27 61.09
47 59 8.26,-106 27 5.94
47 59 82.36,-106 27 57.71
47 59 82.12,-106 27 56.02
47 59 81.88,-106 27 54.33
47 59 81.65,-106 27 52.64
47 59 81.41,-106 27 50.96
47 59 81.17,-106 27 49.27
47 59 80.93,-106 27 47.59
47 59 80.69,-106 27 4.59
47 59 80.44,-106 27 44.21
47 59 8.02,-106 27 42.52
47 59 79.96,-106 27 40.83
47 59 79.72,-106 27 39.14
47 59 79.49,-106 27 37.45
47 59 79.26,-106 27 35.76
47 59 79.03,-106 27 34.06
47 59 78.79,-106 27 32.37
47 59 78.55,-106 27 30.68
47 59 7.83,-106 27 28.99
47 59 78.05,-106 27 2.73
47 59 7.78,-106 27 25.61
47 59 77.55,-106 27 23.92
47 59 77.32,-106 27 22.23
47 59 77.09,-106 27 20.54
47 59 76.85,-106 27 18.84
47 59 7.66,-106 27 17.15
47 59 76.36,-106 27 15.45
47 59 76.13,-106 27 13.76
47 59 7.59,-106 27 12.06
47 59 75.67,-106 27 10.36
47 59 75.43,-106 27 8.67
47 59 75.19,-106 27 6.97
47 59 74.94,-106 27 5.27
47 59 74.69,-106 27 3.57
47 59 74.44,-106 27 1.87
47 59 74.19,-106 27 1.5
47 59 73.95,-106 26 98.43
47 59 73.71,-106 26 96.71
47 59 73.48,-106 26 94.99
47 59 73.25,-106 26 93.28
47 59 73.01,-106 26 91.56
47 59 72.78,-106 26 89.84
47 59 72.54,-106 26 88.12
47 59 7.23,-106 26 8.64
47 59 72.07,-106 26 84.68
47 59 71.85,-106 26 82.95
47 59 71.65,-106 26 81.22
47 59 71.48,-106 26 79.49
47 59 71.34,-106 26 77.76
47 59 71.21,-106 26 76.04
47 59 7.11,-106 26 74.31
47 59 7.1,-106 26 72.58
47 59 70.91,-106 26 70.86
47 59 70.84,-106 26 69.13
47 59 70.77,-106 26 67.41
47 59 70.72,-106 26 65.68
47 59 70.69,-106 26 63.96
47 59 70.68,-106 26 62.24
47 59 70.69,-106 26 60.52
47 59 70.71,-106 26 58.82
47 59 70.76,-106 26 57.11
47 59 70.81,-106 26 55.42
47 59 70.89,-106 26 53.73
47 59 70.98,-106 26 52.04
47 59 71.08,-106 26 50.36
47 59 71.19,-106 26 48.68
47 59 71.29,-106 26 47.01
47 59 7.14,-106 26 45.34
47 59 71.52,-106 26 43.67
47 59 71.65,-106 26 42.01
47 59 71.81,-106 26 40.35
47 59 71.99,-106 26 3.87
47 59 72.19,-106 26 37.07
47 59 72.41,-106 26 35.46
47 59 72.65,-106 26 3.39
47 59 7.29,-106 26 32.39
47 59 73.16,-106 26 30.92
47 59 73.43,-106 26 29.49
47 59 73.72,-106 26 2.81
47 59 74.01,-106 26 26.75
47 59 74.32,-106 26 25.42
47 59 74.64,-106 26 24.14
47 59 74.98,-106 26 22.88
47 59 75.32,-106 26 21.66
47 59 7.57,-106 26 20.47
47 59 76.09,-106 26 19.31
47 59 76.48,-106 26 18.18
47 59 76.88,-106 26 17.11
47 59 77.27,-106 26 16.07
47 59 77.67,-106 26 15.07
47 59 78.06,-106 26 14.11
47 59 78.44,-106 26 13.19
47 59 78.81,-106 26 12.31
47 59 79.18,-106 26 11.48
47 59 79.53,-106 26 10.69
47 59 79.87,-106 26 9.94
47 59 80.21,-106 26 9.26
47 59 80.53,-106 26 8.64
47 59 80.84,-106 26 8.07
47 59 81.14,-106 26 7.57
47 59 81.43,-106 26 7.16
47 59 81.71,-106 26 6.84
47 59 81.98,-106 26 6.57
47 59 82.24,-106 26 6.33
47 59 82.49,-106 26 6.13
47 59 82.73,-106 26 5.94
47 59 82.95,-106 26 5.76
47 59 83.15,-106 26 5.59
47 59 83.34,-106 26 5.45
47 59 83.51,-106 26 5.39
47 59 83.66,-106 26 5.37
47 59 83.78,-106 26 5.37
47 59 83.87,-106 26 5.37
47 59 83.94,-106 26 5.37
47 59 8.4,-106 26 5.37
47 59 84.05,-106 26 5.37
47 59 8.41,-106 26 5.37
47 59 84.15,-106 26 5.37
47 59 8.42,-106 26 5.37
47 59 84.25,-106 26 5.37
47 59 84.29,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.37
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.38
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.39
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 84.31,-106 26 5.4
47 59 8.43,-106 26 5.4
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.41
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.42
47 59 8.43,-106 26 5.45
47 59 8.43,-106 26 5.43
47 59 8.43,-106 26 5.38
47 59 8.43,-106 26 5.26
47 59 8.43,-106 26 5.08
47 59 8.43,-106 26 4.88
47 59 8.43,-106 26 4.66
47 59 8.43,-106 26 4.39
47 59 8.43,-106 26 4.01
47 59 8.43,-106 26 3.51
47 59 8.43,-106 26 2.91
47 59 8.43,-106 26 2.2
47 59 84.29,-106 26 1.4
47 59 8.43,-106 26 50
47 59 84.32,-106 25 99.51
47 59 84.36,-106 25 98.43
47 59 84.44,-106 25 97.26
47 59 84.55,-106 25 96.02
47 59 84.68,-106 25 94.72
47 59 84.81,-106 25 93.39
47 59 84.93,-106 25 92.03
47 59 85.07,-106 25 90.64
47 59 85.24,-106 25 89.22
47 59 85.44,-106 25 87.77
47 59 85.68,-106 25 86.29
47 59 85.94,-106 25 8.48
47 59 86.23,-106 25 83.27
47 59 86.54,-106 25 81.71
47 59 86.88,-106 25 80.12
47 59 87.25,-106 25 7.85
47 59 87.63,-106 25 76.86
47 59 88.02,-106 25 75.19
47 59 88.42,-106 25 73.49
48 59 88.82,-106 25 71.77
48 59 89.22,-106 25 70.04
48 59 89.64,-106 25 68.33
48 59 90.07,-106 25 66.65
48 59 90.52,-106 25 6.5
48 59 90.97,-106 25 63.36
48 59 91.43,-106 25 61.72
48 59 91.89,-106 25 60.07
48 59 92.37,-106 25 58.42
48 59 92.85,-106 25 56.75
48 59 93.34,-106 25 55.08
48 59 93.83,-106 25 53.39
48 59 94.33,-106 25 51.69
48 59 94.83,-106 25 49.97
48 59 95.31,-106 25 48.24
48 59 9.58,-106 25 46.51
48 59 96.28,-106 25 4.48
48 59 96.77,-106 25 43.13
48 59 97.26,-106 25 41.47
48 59 97.75,-106 25 39.81
48 59 98.25,-106 25 38.14
48 59 98.74,-106 25 36.46
48 59 99.25,-106 25 34.78
48 59 99.75,-106 25 33.09
48 0 2.7,-106 25 31.39
48 0 7.8,-106 25 29.68
48 0 1.29,-106 25 27.97
48 0 1.81,-106 25 26.22
48 0 2.31,-106 25 24.45
48 0 2.81,-106 25 22.66
48 0 3.3,-106 25 20.87
48 0 3.8,-106 25 19.08
48 0 4.3,-106 25 17.29
48 0 4.81,-106 25 1.55
48 0 5.31,-106 25 13.72
48 0 5.81,-106 25 11.94
48 0 6.31,-106 25 10.15
48 0 6.82,-106 25 8.37
48 0 7.33,-106 25 6.6
48 0 7.85,-106 25 4.84
48 0 8.38,-106 25 3.08
48 0 8.92,-106 25 1.31
48 0 9.46,-106 24 99.55
48 0 9.99,-106 24 97.79
48 0 10.53,-106 24 96.03
48 0 11.08,-106 24 94.27
48 0 11.62,-106 24 92.51
48 0 12.16,-106 24 90.74
48 0 12.69,-106 24 88.97
48 0 13.22,-106 24 87.19
48 0 13.75,-106 24 85.42
48 0 14.28,-106 24 83.65
48 0 14.81,-106 24 81.87
48 0 15.33,-106 24 8.01
48 0 15.85,-106 24 78.32
48 0 16.37,-106 24 76.55
48 0 1.69,-106 24 74.77
48 0 17.43,-106 24 7.3
48 0 17.97,-106 24 71.23
48 0 18.49,-106 24 69.45
48 0 19.02,-106 24 67.68
48 0 19.55,-106 24 65.91
48 0 20.08,-106 24 64.15
48 0 20.62,-106 24 62.38
48 0 21.15,-106 24 60.62
48 0 21.68,-106 24 58.86
48 0 22.21,-106 24 57.11
48 0 22.74,-106 24 55.36
48 0 23.27,-106 24 5.36
48 0 2.38,-106 24 51.83
48 0 24.33,-106 24 50.06
48 0 24.85,-106 24 48.29
48 0 25.37,-106 24 4.65
48 0 25.89,-106 24 44.71
48 0 26.41,-106 24 42.93
48 0 26.93,-106 24 41.15
48 0 27.46,-106 24 39.39
48 0 27.99,-106 24 37.63
48 0 28.52,-106 24 35.88
48 0 29.06,-106 24 34.11
48 0 29.59,-106 24 32.34
48 0 30.12,-106 24 30.57
48 0 30.65,-106 24 28.81
48 0 31.18,-106 24 27.06
48 0 3.17,-106 24 25.31
48 0 32.21,-106 24 23.55
48 0 32.73,-106 24 2.18
48 0 33.26,-106 24 20.05
48 0 3.38,-106 24 1.83
48 0 34.34,-106 24 16.56
48 0 34.88,-106 24 14.82
48 0 3.54,-106 24 13.08
48 0 35.91,-106 24 11.33
48 0 36.43,-106 24 9.58
48 0 36.96,-106 24 7.83
48 0 3.75,-106 24 6.07
48 0 38.04,-106 24 4.31
48 0 38.58,-106 24 2.57
48 0 39.12,-106 24 8.5
48 0 39.68,-106 23 99.18
48 0 40.24,-106 23 97.56
48 0 40.81,-106 23 95.97
48 0 41.39,-106 23 9.44
48 0 41.97,-106 23 92.83
48 0 42.54,-106 23 91.22
48 0 4.31,-106 23 89.59
48 0 43.66,-106 23 87.94
48 0 44.21,-106 23 86.25
48 0 44.76,-106 23 84.53
48 0 45.33,-106 23 82.77
48 0 45.93,-106 23 81.01
48 0 46.58,-106 23 79.25
48 0 47.29,-106 23 77.48
48 0 48.02,-106 23 75.73
48 0 48.78,-106 23 73.98
48 0 49.52,-106 23 72.23
48 0 50.23,-106 23 70.48
48 0 50.91,-106 23 68.73
48 0 51.54,-106 23 66.98
48 0 5.21,-106 23 65.23
48 0 5.26,-106 23 63.48
48 0 53.06,-106 23 61.73
48 0 53.51,-106 23 59.98
48 0 53.95,-106 23 58.23
48 0 54.38,-106 23 56.47
48 0 54.83,-106 23 54.72
48 0 55.29,-106 23 52.96
48 0 55.74,-106 23 51.19
48 0 56.19,-106 23 49.42
48 0 56.64,-106 23 47.63
48 0 5.71,-106 23 45.84
48 0 57.55,-106 23 44.04
48 0 5.8,-106 23 42.24
48 0 58.45,-106 23 40.44
48 0 5.89,-106 23 38.66
48 0 59.36,-106 23 3.69
48 0 59.82,-106 23 35.15
48 0 60.27,-106 23 33.44
48 0 60.73,-106 23 31.75
48 0 6.12,-106 23 30.07
48 0 61.66,-106 23 28.41
48 0 62.12,-106 23 26.77
48 0 6.26,-106 23 25.17
48 0 63.09,-106 23 2.36
48 0 63.61,-106 23 22.06
48 0 64.16,-106 23 20.55
48 0 64.75,-106 23 19.05
48 0 65.36,-106 23 17.57
48 0 65.99,-106 23 1.61
48 0 66.65,-106 23 14.66
48 0 67.33,-106 23 13.25
48 0 68.02,-106 23 11.86
48 0 68.74,-106 23 1.05
48 0 69.47,-106 23 9.15
48 0 70.23,-106 23 7.79
48 0 71.03,-106 23 6.42
48 0 71.85,-106 23 5.05
48 0 72.69,-106 23 3.69
48 0 73.55,-106 23 2.36
48 0 74.43,-106 23 1.08
48 0 75.33,-106 22 99.85
48 0 76.26,-106 22 98.66
48 0 77.22,-106 22 97.47
48 0 7.82,-106 22 96.28
48 0 79.21,-106 22 95.11
48 0 80.26,-106 22 93.96
48 0 81.37,-106 22 92.81
48 0 82.52,-106 22 91.66
48 0 83.74,-106 22 90.51
48 0 8.5,-106 22 89.34
48 0 86.31,-106 22 88.17
48 0 87.63,-106 22 8.7
48 0 88.98,-106 22 85.83
48 0 90.33,-106 22 84.66
48 0 91.67,-106 22 83.48
48 0 93.02,-106 22 8.23
48 0 94.35,-106 22 81.12
48 0 95.66,-106 22 79.93
48 0 96.97,-106 22 78.74
48 0 98.29,-106 22 77.55
48 0 9.96,-106 22 76.36
48 1 9.2,-106 22 75.18
48 1 2.24,-106 22 7.4
48 1 3.56,-106 22 72.81
48 1 4.88,-106 22 71.61
48 1 6.21,-106 22 70.41
48 1 7.54,-106 22 6.92
48 1 8.88,-106 22 67.99
48 1 10.22,-106 22 66.79
48 1 11.55,-106 22 65.62
48 1 1.29,-106 22 64.45
48 1 14.24,-106 22 63.28
48 1 15.59,-106 22 6.21
48 1 16.94,-106 22 60.89
48 1 18.28,-106 22 59.59
48 1 19.63,-106 22 58.17
48 1 20.96,-106 22 56.61
48 1 22.29,-106 22 54.94
48 1 23.62,-106 22 5.32
48 1 24.94,-106 22 51.38
48 1 26.26,-106 22 4.95
48 1 27.59,-106 22 47.53
48 1 28.92,-106 22 4.55
48 1 30.24,-106 22 43.42
48 1 31.55,-106 22 41.28
48 1 32.85,-106 22 39.08
48 1 34.11,-106 22 36.85
48 1 35.31,-106 22 34.58
48 1 36.43,-106 22 32.29
48 1 37.49,-106 22 29.99
48 1 38.49,-106 22 27.68
48 1 39.45,-106 22 25.37
48 1 40.33,-106 22 23.07
48 1 41.13,-106 22 20.78
48 1 41.86,-106 22 18.49
48 1 42.52,-106 22 1.62
48 1 4.31,-106 22 13.91
48 1 43.59,-106 22 11.62
48 1 43.99,-106 22 9.34
48 1 44.29,-106 22 7.05
48 1 44.52,-106 22 4.77
48 1 44.65,-106 22 2.49
48 1 44.69,-106 22 2.1
48 1 44.63,-106 21 97.93
48 1 44.48,-106 21 95.64
48 1 44.27,-106 21 93.36
48 1 44.03,-106 21 91.08
