Latitude,Longitude
48 26 79.02,-107 11 39.58
48 26 77.83,-107 11 3.79
48 26 76.59,-107 11 36.25
48 26 75.33,-107 11 34.63
48 26 74.02,-107 11 33.02
48 26 72.69,-107 11 31.43
48 26 71.33,-107 11 29.83
48 26 69.95,-107 11 28.25
48 26 68.53,-107 11 26.69
48 26 67.09,-107 11 25.15
48 26 65.61,-107 11 23.62
48 26 6.41,-107 11 22.12
48 26 62.55,-107 11 20.66
48 26 60.98,-107 11 19.22
48 26 59.41,-107 11 17.79
48 26 57.85,-107 11 16.37
48 26 56.28,-107 11 14.95
48 26 5.47,-107 11 13.53
48 26 53.13,-107 11 12.11
48 26 51.56,-107 11 10.67
48 26 50,-107 11 9.23
48 26 48.44,-107 11 7.8
48 26 46.87,-107 11 6.35
48 26 45.31,-107 11 4.91
48 26 43.74,-107 11 3.48
48 26 42.17,-107 11 2.05
48 26 40.59,-107 11 6.1
48 26 39.02,-107 10 99.17
48 26 37.46,-107 10 97.73
48 26 35.89,-107 10 96.29
48 26 34.32,-107 10 94.86
48 26 32.76,-107 10 93.44
48 26 3.12,-107 10 92.01
48 26 29.65,-107 10 90.58
48 26 2.81,-107 10 89.15
48 26 26.56,-107 10 87.73
48 26 25.03,-107 10 86.33
48 26 23.52,-107 10 84.95
48 26 22.04,-107 10 8.36
48 26 20.59,-107 10 82.28
48 26 19.16,-107 10 80.98
48 26 17.75,-107 10 79.69
48 26 16.35,-107 10 78.39
48 26 14.95,-107 10 77.09
48 26 13.54,-107 10 75.78
48 26 12.13,-107 10 74.48
48 26 10.72,-107 10 73.18
48 26 9.31,-107 10 71.88
48 26 7.89,-107 10 70.59
48 26 6.47,-107 10 69.29
48 26 5.05,-107 10 67.98
48 26 3.63,-107 10 66.68
48 26 2.21,-107 10 65.37
48 26 7.9,-107 10 64.06
48 25 99.37,-107 10 62.75
48 25 97.94,-107 10 61.44
48 25 96.49,-107 10 60.11
48 25 95.03,-107 10 58.75
48 25 93.54,-107 10 57.37
48 25 92.04,-107 10 55.99
48 25 90.51,-107 10 54.59
48 25 88.97,-107 10 53.17
48 25 87.41,-107 10 51.73
48 25 85.83,-107 10 50.29
48 25 84.23,-107 10 48.82
48 25 82.62,-107 10 47.34
48 25 81.01,-107 10 45.85
48 25 7.94,-107 10 44.36
48 25 7.78,-107 10 42.87
48 25 76.19,-107 10 41.36
48 25 7.46,-107 10 39.82
48 25 73.04,-107 10 38.21
48 25 71.51,-107 10 36.51
48 25 70.02,-107 10 34.74
48 25 68.57,-107 10 3.29
48 25 67.15,-107 10 3.1
48 25 65.77,-107 10 29.04
48 25 64.42,-107 10 27.04
48 25 63.07,-107 10 25.04
48 25 61.72,-107 10 23.03
48 25 60.37,-107 10 21.04
48 25 59.03,-107 10 19.04
48 25 57.69,-107 10 17.04
48 25 56.36,-107 10 15.04
48 25 55.02,-107 10 13.04
48 25 53.69,-107 10 11.05
48 25 52.34,-107 10 9.07
48 25 5.1,-107 10 7.09
48 25 49.67,-107 10 5.1
48 25 48.34,-107 10 3.11
48 25 4.7,-107 10 1.12
48 25 45.67,-107 9 99.15
48 25 44.34,-107 9 97.18
48 25 4.3,-107 9 95.21
48 25 41.67,-107 9 93.23
48 25 40.34,-107 9 91.26
48 25 39.01,-107 9 89.29
48 25 37.69,-107 9 87.35
48 25 3.64,-107 9 85.44
48 25 35.12,-107 9 83.56
48 25 33.85,-107 9 81.68
48 25 32.58,-107 9 7.98
48 25 31.31,-107 9 77.91
48 25 30.05,-107 9 76.04
48 25 28.81,-107 9 7.42
48 25 27.58,-107 9 7.24
48 25 26.34,-107 9 70.59
48 25 25.11,-107 9 68.76
48 25 23.87,-107 9 66.93
